,Path,Class,Size,Height,Width,Ratio,Avg_Red,Avg_Green,Avg_Blue
0,../Dataset/train/Plain/1.6.jpg,Plain,126000,150,280,1.8666666666666667,146.76895238095238,153.28166666666667,111.88011904761905
1,../Dataset/train/Plain/1.jpg,Plain,411840,352,390,1.1079545454545454,143.27842365967365,146.87422057109558,146.83910256410257
2,../Dataset/train/Plain/1.Longeststraight0.jpg,Plain,1244700,461,900,1.9522776572668112,136.76124126295494,135.84585201253313,131.58426126777536
3,../Dataset/train/Plain/1.maxresdefault.jpg,Plain,2764800,720,1280,1.7777777777777777,116.23902994791666,122.71631510416667,103.44607530381944
4,../Dataset/train/Plain/1.smooth_road_resize_md.jpg,Plain,868248,389,744,1.9125964010282777,121.53375072559913,134.59277303258978,147.9234147386461
5,../Dataset/train/Plain/10.driving-on-country-roads-1.jpg,Plain,23040000,2400,3200,1.3333333333333333,142.72069791666667,145.101251171875,111.816638671875
6,../Dataset/train/Plain/10.g2vnvw1of2i11.jpg,Plain,33820038,2907,3878,1.3340213278293773,123.10244030476844,131.87242092986412,129.22509625802311
7,../Dataset/train/Plain/10.island-road-trip-smooth-roads-road-trip-sunny-day-sky-having-cumulus-nimbus-clouds-along-empty-smooth-black-124987092.jpg,Plain,4153500,1065,1300,1.2206572769953052,121.51948140122788,122.93233441675696,106.72617262549657
8,../Dataset/train/Plain/10.jpg,Plain,151497,181,279,1.5414364640883977,141.9844749400978,151.9954058496208,156.5657339749302
9,../Dataset/train/Plain/10.This-Is-the-Real-Difference-Between-Streets-Roads-and-Avenues_394392439-TTstudio-1024x684.jpg,Plain,2101248,684,1024,1.4970760233918128,136.0410613121345,109.5171355308845,98.05991296600877
10,../Dataset/train/Plain/100.5b23afff15e9f96fe6738e67.jpg,Plain,6220800,1080,1920,1.7777777777777777,108.5565948109568,105.29799141589505,104.73228973765433
11,"../Dataset/train/Plain/101.1946---N,-d-,09,-d-,93,-d-,04,-d-,04-driving.jpg",Plain,756900,290,870,3.0,107.25426080063417,107.25426080063417,107.25426080063417
12,../Dataset/train/Plain/102.Two-new-phases-of-the-Dubai-Expo-2020--033_16ce7757dde_large.jpg,Plain,1266750,563,750,1.3321492007104796,135.03456719952635,148.75183185316754,167.1987258732978
13,../Dataset/train/Plain/103.toll-roads-in-portugal.png,Plain,888000,370,800,2.1621621621621623,99.42718243243243,108.48799662162162,110.0182195945946
14,../Dataset/train/Plain/104.nhai-kmOB--621x414@LiveMint_1562329017788.jpg,Plain,606600,337,600,1.7804154302670623,106.93371909000989,123.10115727002967,133.97521266073196
15,../Dataset/train/Plain/105.First_recycled_glass_and_plastic_road_in_NSW_at_Engadine.jpg,Plain,36578304,3024,4032,1.3333333333333333,122.00548472668389,123.18113360313261,122.96173010099102
16,../Dataset/train/Plain/106.roads-43a.jpg,Plain,2359296,768,1024,1.3333333333333333,117.97887420654297,94.93035507202148,81.64860026041667
17,../Dataset/train/Plain/107.2019-9-4-Flood-Recovery-After-42.jpg,Plain,53747712,3456,5184,1.5,126.4706043859132,122.44999883902035,111.14684349726366
18,../Dataset/train/Plain/108.5d943fa859157.jpeg,Plain,1998000,666,1000,1.5015015015015014,44.3334024024024,46.89553003003003,47.18204054054054
19,../Dataset/train/Plain/109.image672f6274-35e3-426c-9a5c-97816c480584.jpg,Plain,651000,350,620,1.7714285714285714,147.7601520737327,146.83910138248848,138.80836866359448
20,../Dataset/train/Plain/11.driving-country-roads-shutterstock-78677713.jpg,Plain,1327104,576,768,1.3333333333333333,91.29759837962963,126.63091588903356,89.82563612196181
21,../Dataset/train/Plain/11.jpg,Plain,151248,184,274,1.4891304347826086,108.97106077435734,113.1953744842907,90.13739685814028
22,../Dataset/train/Plain/11.l5fuxiwuukzztwq3k89wukhhgo9crw8x2g8gancfmi7r1tnl8zneuh6emtjwdz74-.jpg,Plain,5842200,1070,1820,1.7009345794392523,131.37808000410803,138.71165708123652,141.42451884564034
23,../Dataset/train/Plain/11.long-stretch-of-straight-blacktop-highway-through-the-namibian-desert-in-africa-PG48W1.jpg,Plain,3728400,956,1300,1.3598326359832635,153.44636787898295,155.4833352108143,155.77809623430963
24,../Dataset/train/Plain/11.pageicon_home_1503325159.jpg,Plain,415380,322,430,1.3354037267080745,116.2826736963744,122.75184168712985,108.73380037555972
25,../Dataset/train/Plain/110.B88684391Z.1_20190426170311_000_G0DIRF0U.13-0_Super_Portrait.jpg,Plain,861939,417,689,1.6522781774580335,140.25143658657979,152.5003393511606,156.53545784562482
26,../Dataset/train/Plain/111.qmi_ts20140430ed12-e1554754934319.jpg,Plain,643800,370,580,1.5675675675675675,102.56943150046598,92.00162162162162,102.50038210624417
27,../Dataset/train/Plain/116.road-to-ruin-report-cover-web-graphic-486x271.jpg,Plain,395118,271,486,1.7933579335793357,150.28022261704098,103.38669460768682,63.93253914020622
28,../Dataset/train/Plain/117.Rogue-hero-640x354.jpg,Plain,679680,354,640,1.807909604519774,69.99145038841807,89.61134357344633,62.76616790254237
29,../Dataset/train/Plain/118.25.jpeg,Plain,3682560,959,1280,1.3347236704900938,128.08491755735142,120.1513498761731,116.99885297184568
